tgrac_fid,tgrac_assembly_name,tgrac_pre2016_district,tgrac_parliament,canonical_ac_id,canonical_ac_no,canonical_ac_name,canonical_code,canonical_reservation,match_method,evidence_rationale
19,"Dharmapuri (Sc)","KARIMNAGAR","PEDDAPALLE (SC)",TS-AC-22,22,"Dharmapuri",TS-AC-022,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
20,"Husnabad","KARIMNAGAR","KARIMNAGAR",TS-AC-32,32,"Husnabad",TS-AC-032,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
21,"Huzarabad","KARIMNAGAR","KARIMNAGAR",TS-AC-31,31,"Huzurabad",TS-AC-031,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
22,"Jagatial","KARIMNAGAR","NIZAMABAD",TS-AC-21,21,"Jagtial",TS-AC-021,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
23,"Karimnagar","KARIMNAGAR","KARIMNAGAR",TS-AC-26,26,"Karimnagar",TS-AC-026,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
24,"Koratla","KARIMNAGAR","NIZAMABAD",TS-AC-20,20,"Koratla",TS-AC-020,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
25,"Manakondur (Sc)","KARIMNAGAR","KARIMNAGAR",TS-AC-30,30,"Manakondur",TS-AC-030,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
26,"Manthani","KARIMNAGAR","PEDDAPALLE (SC)",TS-AC-24,24,"Manthani",TS-AC-024,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
27,"Peddapalle","KARIMNAGAR","PEDDAPALLE (SC)",TS-AC-25,25,"Peddapalle",TS-AC-025,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
28,"Ramagundam","KARIMNAGAR","PEDDAPALLE (SC)",TS-AC-23,23,"Ramagundam",TS-AC-023,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
29,"Sirisilla","KARIMNAGAR","KARIMNAGAR",TS-AC-29,29,"Sircilla",TS-AC-029,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
30,"Vemulawada","KARIMNAGAR","KARIMNAGAR",TS-AC-28,28,"Vemulawada",TS-AC-028,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
31,"Aswaraopeta (St)","KHAMMAM","KHAMMAM",TS-AC-118,118,"Aswaraopeta",TS-AC-118,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
32,"Khammam","KHAMMAM","KHAMMAM",TS-AC-112,112,"Khammam",TS-AC-112,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
33,"Kothagudem","KHAMMAM","KHAMMAM",TS-AC-117,117,"Kothagudem",TS-AC-117,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
34,"Palair","KHAMMAM","KHAMMAM",TS-AC-113,113,"Palair",TS-AC-113,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
35,"Pinapaka (St)","KHAMMAM","MAHABUBABAD (ST)",TS-AC-110,110,"Pinapaka",TS-AC-110,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
36,"Sathupalle (Sc)","KHAMMAM","KHAMMAM",TS-AC-116,116,"Sathupalli",TS-AC-116,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
37,"Yellandu (St)","KHAMMAM","MAHABUBABAD (ST)",TS-AC-111,111,"Yellandu",TS-AC-111,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
38,"Alampur (Sc)","MAHABUBNAGAR","NAGARKURNOOL (SC)",TS-AC-80,80,"Alampur",TS-AC-080,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
39,"Devarakdra","MAHABUBNAGAR","MAHABUBNAGAR",TS-AC-76,76,"Devarkadra",TS-AC-076,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
40,"Gadwal","MAHABUBNAGAR","NAGARKURNOOL (SC)",TS-AC-79,79,"Gadwal",TS-AC-079,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
41,"Jadcherla","MAHABUBNAGAR","MAHABUBNAGAR",TS-AC-75,75,"Jadcherla",TS-AC-075,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
42,"Kalwakurthy","MAHABUBNAGAR","NAGARKURNOOL (SC)",TS-AC-83,83,"Kalwakurthy",TS-AC-083,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
43,"Kodangal","MAHABUBNAGAR","MAHABUBNAGAR",TS-AC-72,72,"Kodangal",TS-AC-072,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
44,"Kollapur","MAHABUBNAGAR","NAGARKURNOOL (SC)",TS-AC-85,85,"Kollapur",TS-AC-085,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
45,"Mahabubnagar","MAHABUBNAGAR","MAHABUBNAGAR",TS-AC-74,74,"Mahbubnagar",TS-AC-074,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
46,"Makthal","MAHABUBNAGAR","MAHABUBNAGAR",TS-AC-77,77,"Makthal",TS-AC-077,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
47,"Nagarkurnool","MAHABUBNAGAR","NAGARKURNOOL (SC)",TS-AC-81,81,"Nagarkurnool",TS-AC-081,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
48,"Narayanpet","MAHABUBNAGAR","MAHABUBNAGAR",TS-AC-73,73,"Narayanpet",TS-AC-073,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
49,"Shadnagar","MAHABUBNAGAR","MAHABUBNAGAR",TS-AC-84,84,"Shadnagar",TS-AC-084,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
50,"Wanaparthy","MAHABUBNAGAR","NAGARKURNOOL (SC)",TS-AC-78,78,"Wanaparthy",TS-AC-078,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
51,"Andole (Sc)","MEDAK","ZAHIRABAD",TS-AC-36,36,"Andole",TS-AC-036,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
52,"Medak","MEDAK","MEDAK",TS-AC-34,34,"Medak",TS-AC-034,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
53,"Narayankhed","MEDAK","ZAHIRABAD",TS-AC-35,35,"Narayankhed",TS-AC-035,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
54,"Narsapur","MEDAK","MEDAK",TS-AC-37,37,"Narsapur",TS-AC-037,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
55,"Patancheru","MEDAK","MEDAK",TS-AC-40,40,"Patancheru",TS-AC-040,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
56,"Sangareddy","MEDAK","MEDAK",TS-AC-39,39,"Sangareddy",TS-AC-039,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
57,"Siddipet","MEDAK","MEDAK",TS-AC-33,33,"Siddipet",TS-AC-033,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
58,"Zahirabad (Sc)","MEDAK","ZAHIRABAD",TS-AC-38,38,"Zahirabad",TS-AC-038,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
59,"Alair","NALGONDA","BHUVANAGIRI",TS-AC-97,97,"Alair",TS-AC-097,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
60,"Bhongir","NALGONDA","BHUVANAGIRI",TS-AC-94,94,"Bhongir",TS-AC-094,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
61,"Huzuranagar","NALGONDA","NALGONDA",TS-AC-89,89,"Huzurnagar",TS-AC-089,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
62,"Kodad","NALGONDA","NALGONDA",TS-AC-90,90,"Kodad",TS-AC-090,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
63,"Miryalaguda","NALGONDA","NALGONDA",TS-AC-88,88,"Miryalaguda",TS-AC-088,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
64,"Munugode","NALGONDA","BHUVANAGIRI",TS-AC-93,93,"Munugode",TS-AC-093,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
65,"Nagarjunasagar","NALGONDA","NALGONDA",TS-AC-87,87,"Nagarjuna Sagar",TS-AC-087,GEN,NORMALIZED_NAME_MATCH,"Normalized whitespace or parentheses variation"
66,"Nakrekal (Sc)","NALGONDA","BHUVANAGIRI",TS-AC-95,95,"Nakrekal",TS-AC-095,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
67,"Nalgonda","NALGONDA","NALGONDA",TS-AC-92,92,"Nalgonda",TS-AC-092,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
68,"Suryapet","NALGONDA","NALGONDA",TS-AC-91,91,"Suryapet",TS-AC-091,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
69,"Armoor","NIZAMABAD","NIZAMABAD",TS-AC-11,11,"Armur",TS-AC-011,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
70,"Banswada","NIZAMABAD","ZAHIRABAD",TS-AC-14,14,"Banswada",TS-AC-014,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
71,"Bodhan","NIZAMABAD","NIZAMABAD",TS-AC-12,12,"Bodhan",TS-AC-012,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
72,"Jukkal (Sc)","NIZAMABAD","ZAHIRABAD",TS-AC-13,13,"Jukkal",TS-AC-013,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
73,"Kamareddy","NIZAMABAD","ZAHIRABAD",TS-AC-16,16,"Kamareddy",TS-AC-016,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
74,"Yellareddy","NIZAMABAD","ZAHIRABAD",TS-AC-15,15,"Yellareddy",TS-AC-015,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
75,"Kukatpalle","RANGAREDDY","MALKAJGIRI",TS-AC-46,46,"Kukatpally",TS-AC-046,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
76,"Chevella (Sc)","RANGAREDDY","CHEVELLA",TS-AC-53,53,"Chevella",TS-AC-053,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
77,"Ibrahimpatnam","RANGAREDDY","BHUVANAGIRI",TS-AC-48,48,"Ibrahimpatnam",TS-AC-048,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
78,"Maheswaram","RANGAREDDY","CHEVELLA",TS-AC-50,50,"Maheshwaram",TS-AC-050,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
79,"Malkajgiri","RANGAREDDY","MALKAJGIRI",TS-AC-44,44,"Malkajgiri",TS-AC-044,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
80,"Medchal","RANGAREDDY","MALKAJGIRI",TS-AC-43,43,"Medchal",TS-AC-043,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
81,"Pargi","RANGAREDDY","CHEVELLA",TS-AC-54,54,"Pargi",TS-AC-054,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
82,"Quthbullapur","RANGAREDDY","MALKAJGIRI",TS-AC-45,45,"Quthbullapur",TS-AC-045,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
83,"Rajendranagar","RANGAREDDY","CHEVELLA",TS-AC-51,51,"Rajendranagar",TS-AC-051,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
84,"Serilingampally","RANGAREDDY","CHEVELLA",TS-AC-52,52,"Serilingampally",TS-AC-052,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
85,"Uppal","RANGAREDDY","MALKAJGIRI",TS-AC-47,47,"Uppal",TS-AC-047,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
86,"Warangal East","WARANGAL","WARANGAL_WEST_(SC)",TS-AC-106,106,"Warangal East",TS-AC-106,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
87,"Bhupalpalle","WARANGAL","WARANGAL_WEST_(SC)",TS-AC-108,108,"Bhupalpalle",TS-AC-108,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
88,"Dornakal (St)","WARANGAL","MAHABUBABAD (ST)",TS-AC-101,101,"Dornakal",TS-AC-101,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
89,"Ghanpur (Station) (Sc)","WARANGAL","WARANGAL_WEST_(SC)",TS-AC-99,99,"Ghanpur Station",TS-AC-099,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
90,"Jangoan","WARANGAL","BHUVANAGIRI",TS-AC-98,98,"Jangaon",TS-AC-098,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
91,"Mulug (St)","WARANGAL","MAHABUBABAD (ST)",TS-AC-109,109,"Mulug",TS-AC-109,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
92,"Narsampet","WARANGAL","MAHABUBABAD (ST)",TS-AC-103,103,"Narsampet",TS-AC-103,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
93,"Palakurthi","WARANGAL","WARANGAL_WEST_(SC)",TS-AC-100,100,"Palakurthi",TS-AC-100,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
94,"Parkal","WARANGAL","WARANGAL_WEST_(SC)",TS-AC-104,104,"Parkal",TS-AC-104,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
95,"Waradhanapet (Sc)","WARANGAL","WARANGAL_WEST_(SC)",TS-AC-107,107,"Wardhannapet",TS-AC-107,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
96,"Warangal West","WARANGAL","WARANGAL_WEST_(SC)",TS-AC-105,105,"Warangal West",TS-AC-105,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
97,"Nizamabad (Urban)","NIZAMABAD","NIZAMABAD",TS-AC-17,17,"Nizamabad Urban",TS-AC-017,GEN,NORMALIZED_NAME_MATCH,"Normalized whitespace or parentheses variation"
98,"Lal Bahadur Nagar","RANGAREDDY","CHEVELLA",TS-AC-49,49,"L. B. Nagar",TS-AC-049,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Known transliteration / spelling variation documented in ECI Delimitation Gazette"
99,"Charminar","HYDERABAD","HYDERABAD",TS-AC-66,66,"Charminar",TS-AC-066,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
100,"Malakpet","HYDERABAD","HYDERABAD",TS-AC-58,58,"Malakpet",TS-AC-058,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
101,"Secunderabad","HYDERABAD","SECUNDERABAD",TS-AC-70,70,"Secunderabad",TS-AC-070,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
102,"Jubilee Hills","HYDERABAD","SECUNDERABAD",TS-AC-61,61,"Jubilee Hills",TS-AC-061,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
103,"Sanathnagar","HYDERABAD","SECUNDERABAD",TS-AC-62,62,"Sanathnagar",TS-AC-062,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
104,"Wyra (St)","KHAMMAM","KHAMMAM",TS-AC-115,115,"Wyra",TS-AC-115,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
105,"Madhira (Sc)","KHAMMAM","KHAMMAM",TS-AC-114,114,"Madhira",TS-AC-114,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
106,"Devarakonda (St)","NALGONDA","NALGONDA",TS-AC-86,86,"Devarakonda",TS-AC-086,GEN,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
107,"Tandur","RANGAREDDY","CHEVELLA",TS-AC-56,56,"Tandur",TS-AC-056,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
108,"Vikarabad (Sc)","RANGAREDDY","CHEVELLA",TS-AC-55,55,"Vicarabad",TS-AC-055,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
109,"Adilabad","ADILABAD","ADILABAD (ST)",TS-AC-7,7,"Adilabad",TS-AC-007,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
110,"Dubbak","MEDAK","MEDAK",TS-AC-41,41,"Dubbak",TS-AC-041,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
111,"Gajwel","MEDAK","MEDAK",TS-AC-42,42,"Gajwel",TS-AC-042,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
112,"Asifabad (St)","ADILABAD","ADILABAD (ST)",TS-AC-5,5,"Asifabad",TS-AC-005,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
113,"Achampet (Sc)","MAHABUBNAGAR","NAGARKURNOOL (SC)",TS-AC-82,82,"Achampet",TS-AC-082,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
114,"Bhadrachalam (St)","KHAMMAM","MAHABUBABAD (ST)",TS-AC-119,119,"Bhadrachalam",TS-AC-119,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
115,"Balkonda","NIZAMABAD","NIZAMABAD",TS-AC-19,19,"Balkonda",TS-AC-019,GEN,DIRECT_NAME_MATCH,"Exact case-insensitive match on constituency name"
116,"Nizamabad (Rural)","NIZAMABAD","NIZAMABAD",TS-AC-18,18,"Nizamabad Rural",TS-AC-018,GEN,NORMALIZED_NAME_MATCH,"Normalized whitespace or parentheses variation"
117,"Mahabubabad (St)","WARANGAL","MAHABUBABAD (ST)",TS-AC-102,102,"Mahabubabad",TS-AC-102,ST,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
118,"Thungathurthi (Sc)","NALGONDA","BHUVANAGIRI",TS-AC-96,96,"Thungathurthi",TS-AC-096,SC,DOCUMENTED_AUTHORITY_MAPPING,"Source includes reservation suffix matching canonical reservation_status"
