TGRAC FID,Historical Mandal ID,Version Code,TGRAC Name,Current LGD Name,TGRAC District,LGD Code,Census 2011,Legal valid_from,Legal valid_to,Timeline Status,Geometry Snapshot Date,Geometry Semantic,Predecessor Lineage,Successor(s) Lineage,Lineage Notes,W014 is_current,Primary Dataset Version ID
16,TS-MDL-4326,TS-MDL-4326-V1,Sirpur_U,Sirpur U,Kumurambheem Asifabad,4326,04326,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
17,TS-MDL-4508,TS-MDL-4508-V1,Bahadurpura,Bahadurpura,Hyderabad,4508,04508,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
18,TS-MDL-4557,TS-MDL-4557-V1,Balanagar,Balanagar,Mahabubnagar,4557,04557,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
19,TS-MDL-6302,TS-MDL-6302-V1,Ananthagiri,Ananthagiri,Suryapet,6302,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
20,TS-MDL-4479,TS-MDL-4479-V1,Andole,Andole,Sangareddy,4479,04479,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
21,TS-MDL-4749,TS-MDL-4749-V1,Aswaraopeta,Aswaraopeta,Bhadradri Kothagudem,4749,04749,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
22,TS-MDL-4626,TS-MDL-4626-V1,Athmakur (M),Atmakur (M),Yadadri Bhuvanagiri,4626,04626,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
23,TS-MDL-4694,TS-MDL-4694-V1,Atmakur,Athmakur,Warangal_Rural,4694,04694,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
24,TS-MDL-4622,TS-MDL-4622-V1,Atmakur_S,Atmakur (S),Suryapet,4622,04622,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
25,TS-MDL-4592,TS-MDL-4592-V1,Atmakur,Atmakur,Wanaparthy,4592,04592,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
26,TS-MDL-4630,TS-MDL-4630-V1,B.Pochampally,B Pochampally,Yadadri Bhuvanagiri,4630,04630,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
27,TS-MDL-4517,TS-MDL-4517-V1,Balanagar,Balanagar,Medchal_Malkajgiri,4517,04517,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
28,TS-MDL-4361,TS-MDL-4361-V1,Balkonda,Balkonda,Nizamabad,4361,04361,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
29,TS-MDL-4597,TS-MDL-4597-V1,Balmoor,Balmoor,Nagarkurnool,4597,04597,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
30,TS-MDL-6323,TS-MDL-6323-V1,Balapur,Balapur,Rangareddy,6323,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
31,TS-MDL-4383,TS-MDL-4383-V1,Banswada,Banswada,Kamareddy,4383,04383,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
32,TS-MDL-4532,TS-MDL-4532-V1,Bantwaram,Bantwaram,Vikarabad,4532,04532,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
33,TS-MDL-6205,TS-MDL-6205-V1,Basar,Basar,Nirmal,6205,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
34,TS-MDL-4742,TS-MDL-4742-V1,Bayyaram,Bayyaram,Mahabubabad,4742,04742,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
35,TS-MDL-4535,TS-MDL-4535-V1,Basheerabad,Basheerabad,Vikarabad,4535,04535,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
36,TS-MDL-4437,TS-MDL-4437-V1,Bejjanki,Bejjanki,Siddipet,4437,04437,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
37,TS-MDL-4323,TS-MDL-4323-V1,Bazarhathnoor,Bazarhatnoor,Adilabad,4323,04323,2016-10-11,2022-09-26,SPLIT_2022_09_26,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Territorial envelope valid until 2022-09-26),10 Legacy AP Districts (2014 Telangana State Formation),Sonala (LGD 7516),Predecessor to Sonala (LGD 7516) formed on 2022-09-26 under G.O.Ms.No. 80,false,ts_lgd_mandals_2016_v1
38,TS-MDL-6212,TS-MDL-6212-V1,Beerpur,Beerpur,Jagtial,6212,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
39,TS-MDL-4317,TS-MDL-4317-V1,Bejjur,Bejjur,Kumurambheem Asifabad,4317,04317,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
40,TS-MDL-4308,TS-MDL-4308-V1,Bela,Bela,Adilabad,4308,04308,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
41,TS-MDL-4364,TS-MDL-4364-V1,Bheemgal,Bheemgal,Nizamabad,4364,04364,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
42,TS-MDL-4350,TS-MDL-4350-V1,Bellampalle,Bellampally,Mancherial,4350,04350,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
43,TS-MDL-4587,TS-MDL-4587-V1,Chinna Chinta Kunta,Chinnachintakunta,Mahabubnagar,4587,04587,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
44,TS-MDL-6228,TS-MDL-6228-V1,Bheemaram,Bheemaram,Mancherial,6228,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
45,TS-MDL-6223,TS-MDL-6223-V1,Bheempoor,Bheempur,Adilabad,6223,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
46,TS-MDL-4584,TS-MDL-4584-V1,Bijinapalle,Bijinapally,Nagarkurnool,4584,04584,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
47,TS-MDL-4370,TS-MDL-4370-V1,Bodhan,Bodhan,Nizamabad,4370,04370,2016-10-11,2022-09-26,SPLIT_2022_09_26,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Territorial envelope valid until 2022-09-26),10 Legacy AP Districts (2014 Telangana State Formation),Saloora (LGD 7532),Predecessor to Saloora (LGD 7532) formed on 2022-09-26 under G.O.Ms.No. 83,false,ts_lgd_mandals_2016_v1
48,TS-MDL-4429,TS-MDL-4429-V1,Boinpalli,Boinpalli,Rajanna Sircilla,4429,04429,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
49,TS-MDL-4613,TS-MDL-4613-V1,Bommalaramaram,Bommalaramaram,Yadadri Bhuvanagiri,4613,04613,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
50,TS-MDL-4550,TS-MDL-4550-V1,Bommaraspeta,Bomaraspeta,Vikarabad,4550,04550,2016-10-11,2022-09-26,SPLIT_2022_09_26,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Territorial envelope valid until 2022-09-26),10 Legacy AP Districts (2014 Telangana State Formation),Dudyal (LGD 7540),Predecessor to Dudyal (LGD 7540) formed on 2022-09-26 under G.O.Ms.No. 84,false,ts_lgd_mandals_2016_v1
51,TS-MDL-4765,TS-MDL-4765-V1,Bonakal,Bonakal,Khammam,4765,04765,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
52,TS-MDL-6209,TS-MDL-6209-V1,Soan,Soan,Nirmal,6209,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
53,TS-MDL-4391,TS-MDL-4391-V1,Bhiknoor,Bhiknoor,Kamareddy,4391,04391,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
54,TS-MDL-6242,TS-MDL-6242-V1,Bibipet,Bibipet,Kamareddy,6242,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
55,TS-MDL-4324,TS-MDL-4324-V1,Boath,Boath,Adilabad,4324,04324,2016-10-11,2022-09-26,SPLIT_2022_09_26,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Territorial envelope valid until 2022-09-26),10 Legacy AP Districts (2014 Telangana State Formation),Sonala (LGD 7516),Predecessor to Sonala (LGD 7516) formed on 2022-09-26 under G.O.Ms.No. 80,false,ts_lgd_mandals_2016_v1
56,TS-MDL-6213,TS-MDL-6213-V1,Buggaram,Buggaram,Jagtial,6213,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
57,TS-MDL-4460,TS-MDL-4460-V1,Chinnakodur,Chinnakodur,Siddipet,4460,04460,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
58,TS-MDL-4736,TS-MDL-4736-V1,Burgampadu,Burgampahad,Bhadradri Kothagudem,4736,04736,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
59,TS-MDL-6265,TS-MDL-6265-V1,Sujathanagar,Sujathanagar,Bhadradri Kothagudem,6265,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
60,TS-MDL-4652,TS-MDL-4652-V1,Chandampet,Chandampeta,Nalgonda,4652,04652,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
61,TS-MDL-4747,TS-MDL-4747-V1,Chandrugonda,Chandrugonda,Bhadradri Kothagudem,4747,04747,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
62,TS-MDL-6293,TS-MDL-6293-V1,Charakonda,Charakonda,Nagarkurnool,6293,00000,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
63,TS-MDL-4510,TS-MDL-4510-V1,Charminar,Charminar,Hyderabad,4510,04510,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
64,TS-MDL-4419,TS-MDL-4419-V1,Chendurthi,Chandurthi,Rajanna Sircilla,4419,04419,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
65,TS-MDL-4633,TS-MDL-4633-V1,Chityal,Chityal,Nalgonda,4633,04633,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
66,TS-MDL-4639,TS-MDL-4639-V1,Chivvemla,Chivemla,Suryapet,4639,04639,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
67,TS-MDL-4424,TS-MDL-4424-V1,Choppadandi,Choppadandi,Karimnagar,4424,04424,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
68,TS-MDL-4631,TS-MDL-4631-V1,Choutuppal,Choutuppal,Yadadri Bhuvanagiri,4631,04631,2016-10-11,2022-09-26,UNDIVIDED_HISTORICAL,2016-10-11,2016-10-11 Statutory Baseline Snapshot (Unmodified throughout 2016-2022 epoch),10 Legacy AP Districts (2014 Telangana State Formation),NONE,Continuous statutory existence without bifurcation,false,ts_lgd_mandals_2016_v1
