Stable Mandal,Version,Valid From,Valid To,Current,Parent,Successor,Dataset,Legal Evidence
TS-MDL-4361,TS-MDL-4361-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4361,TS-MDL-4361-V2,2022-09-26,,true,Predecessor Version TS-MDL-4361-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4597,TS-MDL-4597-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4597,TS-MDL-4597-V2,2022-09-26,,true,Predecessor Version TS-MDL-4597-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6323,TS-MDL-6323-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6323,TS-MDL-6323-V2,2022-09-26,,true,Predecessor Version TS-MDL-6323-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4383,TS-MDL-4383-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4383,TS-MDL-4383-V2,2022-09-26,,true,Predecessor Version TS-MDL-4383-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4532,TS-MDL-4532-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4532,TS-MDL-4532-V2,2022-09-26,,true,Predecessor Version TS-MDL-4532-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6205,TS-MDL-6205-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6205,TS-MDL-6205-V2,2022-09-26,,true,Predecessor Version TS-MDL-6205-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4742,TS-MDL-4742-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4742,TS-MDL-4742-V2,2022-09-26,,true,Predecessor Version TS-MDL-4742-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4535,TS-MDL-4535-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4535,TS-MDL-4535-V2,2022-09-26,,true,Predecessor Version TS-MDL-4535-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4437,TS-MDL-4437-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4437,TS-MDL-4437-V2,2022-09-26,,true,Predecessor Version TS-MDL-4437-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4323,TS-MDL-4323-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),Sonala (LGD 7516),ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Bifurcated under G.O.Ms. Nos. 51-68 Rev on 2022-09-26
TS-MDL-4323,TS-MDL-4323-V2,2022-09-26,,true,Predecessor Version TS-MDL-4323-V1,Sonala (LGD 7516),ts_lgd_mandals_2026_v1,Continuing parent territory post-G.O.Ms. 51-68 Rev (2022-09-26); MoPR LGD 2026 Directory
TS-MDL-6212,TS-MDL-6212-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6212,TS-MDL-6212-V2,2022-09-26,,true,Predecessor Version TS-MDL-6212-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4317,TS-MDL-4317-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4317,TS-MDL-4317-V2,2022-09-26,,true,Predecessor Version TS-MDL-4317-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4308,TS-MDL-4308-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4308,TS-MDL-4308-V2,2022-09-26,,true,Predecessor Version TS-MDL-4308-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4364,TS-MDL-4364-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4364,TS-MDL-4364-V2,2022-09-26,,true,Predecessor Version TS-MDL-4364-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4350,TS-MDL-4350-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4350,TS-MDL-4350-V2,2022-09-26,,true,Predecessor Version TS-MDL-4350-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4587,TS-MDL-4587-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4587,TS-MDL-4587-V2,2022-09-26,,true,Predecessor Version TS-MDL-4587-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6228,TS-MDL-6228-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6228,TS-MDL-6228-V2,2022-09-26,,true,Predecessor Version TS-MDL-6228-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6223,TS-MDL-6223-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6223,TS-MDL-6223-V2,2022-09-26,,true,Predecessor Version TS-MDL-6223-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4584,TS-MDL-4584-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4584,TS-MDL-4584-V2,2022-09-26,,true,Predecessor Version TS-MDL-4584-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4370,TS-MDL-4370-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),Saloora (LGD 7532),ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Bifurcated under G.O.Ms. Nos. 51-68 Rev on 2022-09-26
TS-MDL-4370,TS-MDL-4370-V2,2022-09-26,,true,Predecessor Version TS-MDL-4370-V1,Saloora (LGD 7532),ts_lgd_mandals_2026_v1,Continuing parent territory post-G.O.Ms. 51-68 Rev (2022-09-26); MoPR LGD 2026 Directory
TS-MDL-4429,TS-MDL-4429-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4429,TS-MDL-4429-V2,2022-09-26,,true,Predecessor Version TS-MDL-4429-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4613,TS-MDL-4613-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4613,TS-MDL-4613-V2,2022-09-26,,true,Predecessor Version TS-MDL-4613-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4550,TS-MDL-4550-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),Dudyal (LGD 7540),ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Bifurcated under G.O.Ms. Nos. 51-68 Rev on 2022-09-26
TS-MDL-4550,TS-MDL-4550-V2,2022-09-26,,true,Predecessor Version TS-MDL-4550-V1,Dudyal (LGD 7540),ts_lgd_mandals_2026_v1,Continuing parent territory post-G.O.Ms. 51-68 Rev (2022-09-26); MoPR LGD 2026 Directory
TS-MDL-4765,TS-MDL-4765-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4765,TS-MDL-4765-V2,2022-09-26,,true,Predecessor Version TS-MDL-4765-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6209,TS-MDL-6209-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-6209,TS-MDL-6209-V2,2022-09-26,,true,Predecessor Version TS-MDL-6209-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-4391,TS-MDL-4391-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
TS-MDL-4391,TS-MDL-4391-V2,2022-09-26,,true,Predecessor Version TS-MDL-4391-V1,CONTINUING_IDENTITY,ts_lgd_mandals_2026_v1,Continuous statutory identity; MoPR LGD 2026 Directory snapshot
TS-MDL-6242,TS-MDL-6242-V1,2016-10-11,2022-09-26,false,10 Legacy AP Districts (2014 Telangana State Formation),CONTINUING_IDENTITY,ts_lgd_mandals_2016_v1,G.O.Ms. Nos. 214-245 Rev (2016-10-11); Undivided 2016-2022 statutory baseline
