tgrac_fid,tgrac_dist_name,canonical_district_id,canonical_code,canonical_name,match_method,temporal_regime,evidence_rationale
15,"Rajanna Sircilla",4b842390-c7f5-40ed-b274-a2c2a270953f,TS-DIST-RAJANNA-SIRCILLA,"Rajanna Sircilla",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
16,"Sangareddy",47619e6b-3aca-402d-8ab2-836dc50f4e73,TS-DIST-SANGAREDDY,"Sangareddy",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
17,"Siddipet",e1428c52-f3e6-41de-bf65-775d1fec51b3,TS-DIST-SIDDIPET,"Siddipet",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
18,"Vikarabad",9f5f21a5-03bd-41b9-b8db-9ec8270ca9ec,TS-DIST-VIKARABAD,"Vikarabad",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
19,"Wanaparthy",e379cf62-7737-43e4-9c20-4da9c6ba905f,TS-DIST-WANAPARTHY,"Wanaparthy",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
20,"Warangal Rural",e11daaae-34a8-48aa-be7c-d593639f84e0,TS-DIST-WARANGAL,"Warangal",DOCUMENTED_AUTHORITY_MAPPING,2019-2021_INTERMEDIATE_REGIME,"Renamed to Warangal under G.O.Ms. 153 dated 12.08.2021"
21,"Warangal Urban",402a7c87-85dc-45b8-9d9b-34918f601c6b,TS-DIST-HANAMKONDA,"Hanamkonda",DOCUMENTED_AUTHORITY_MAPPING,2019-2021_INTERMEDIATE_REGIME,"Renamed to Hanamkonda under G.O.Ms. 153 dated 12.08.2021"
22,"Yadadri Bhuvanagiri",978151d4-5a29-482a-bd29-15ff0174ac71,TS-DIST-YADADRI-BHUVANAGIRI,"Yadadri Bhuvanagiri",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
23,"Narayanpet",b3e0e79d-8c8e-48a7-a4f0-4d145a7ad7b7,TS-DIST-NARAYANPET,"Narayanpet",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
24,"Jogulamba Gadwal",278f3045-ab00-44c6-b8d1-4445f4b98480,TS-DIST-JOGULAMBA-GADWAL,"Jogulamba Gadwal",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
25,"Rangareddy",f75ea403-af8e-42f1-b140-6efadcbcd807,TS-DIST-RANGAREDDY,"Rangareddy",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
26,"Suryapet",807ac9ac-8227-4e04-939b-02442abc4fef,TS-DIST-SURYAPET,"Suryapet",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
27,"Medchal Malkajgiri",fbdb3eb2-e900-40de-8d7e-7909ed27c000,TS-DIST-MEDCHAL-MALKAJGIRI,"Medchal-Malkajgiri",DOCUMENTED_AUTHORITY_MAPPING,2019-2021_INTERMEDIATE_REGIME,"Documented spelling / hyphenation variation in state notifications"
28,"Adilabad",ea63fc81-a7d5-4a1b-b92e-9fc130c5cdea,TS-DIST-ADILABAD,"Adilabad",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
29,"Hyderabad",ef6b7c13-e09a-40b7-9f99-04f09f13e3e2,TS-DIST-HYDERABAD,"Hyderabad",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
30,"Kumurambheem Asifabad",208bc4a0-97e2-4cd9-9907-4ec586d52d69,TS-DIST-KUMURAM-BHEEM-ASIFABAD,"Kumuram Bheem Asifabad",DOCUMENTED_AUTHORITY_MAPPING,2019-2021_INTERMEDIATE_REGIME,"Documented spelling / hyphenation variation in state notifications"
31,"Jayashankar Bhupalpally",efbda9bd-6559-4db5-b78e-50451d8f6668,TS-DIST-JAYASHANKAR-BHUPALPALLY,"Jayashankar Bhupalpally",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
32,"Mahabubnagar",5a51c8eb-58d2-4cde-92b5-ce93d7f99116,TS-DIST-MAHABUBNAGAR,"Mahabubnagar",DIRECT_NAME_MATCH,2019-2021_INTERMEDIATE_REGIME,"Exact name match with canonical district"
